ID Código Material Técnica Sexo Dibujado Artefacto_(s) Cantidad Dibujado_(s) Sexo_2 Elementos_adicionales_1 2 3 4 5 6 Tocado Elementos_de_la_cara_1 Elementos_de_la_cara_2 Elementos_de_las_orejas_1 Elementos_de_las_orejas_2 Elementos_de_cuello_y_pecho_1 Elementos_de_cuello_y_pecho_2 Elementos_de_cuello_y_pecho_3 Cinturones
57 MO_O00145-1 oro plana no_tiene si si 3 si no_tiene cachiporra N/A N/A N/A N/A N/A semi_ovalo N/A N/A N/A N/A N/A N/A N/A un_hilo
58 MO_O00146-1 oro figurilla masculino si si 3 si masculino_sin_gonadas_hacia_abajo un_palito N/A N/A N/A N/A N/A semi_ovalo N/A N/A N/A N/A N/A N/A N/A adicionales
59 MO_O00147-1 tumbaga plana indeterminado si si 2 si indeterminado N/A N/A N/A N/A N/A N/A semi_ovalo N/A N/A N/A N/A N/A N/A N/A adicionales
60 MO_O00148-1 oro plana masculino si si 5 si masculino_con_gonadas_hacia_arriba pájaros brazalete N/A N/A N/A N/A semi_ovalo N/A N/A N/A N/A placa_de_hilo N/A N/A adicionales
61 MO_O00149-1 oro plana masculino si si 4 si masculino_con_gonadas_hacia_arriba dos_palitos bastones_diversos N/A N/A N/A N/A cilíndrico N/A N/A N/A N/A N/A N/A N/A un_hilo
62 MO_O00150-1 tumbaga plana no_tiene si si 2 si no_tiene N/A N/A N/A N/A N/A N/A con_adornos N/A N/A N/A N/A N/A N/A N/A adicionales
63 MO_O00151-1 tumbaga plana femenino si si 4 si femenino_herradura_hacia_abajo un_palito N/A N/A N/A N/A N/A rectangular N/A N/A N/A N/A placa_y_collar_largos N/A N/A un_hilo
64 MO_O00152-1 tumbaga plana no_tiene si si 2 si no_tiene N/A N/A N/A N/A N/A N/A con_adornos N/A N/A N/A N/A N/A N/A N/A un_hilo
65 MO_O00153-1 oro plana indeterminado si si 2 si indeterminado N/A N/A N/A N/A N/A N/A colmena N/A N/A N/A N/A N/A N/A N/A adicionales
66 MO_O00158-1 tumbaga plana masculino si si 2 si masculino_con_gonadas_hacia_abajo N/A N/A N/A N/A N/A N/A rectangular N/A N/A N/A N/A N/A N/A N/A un_hilo
67 MO_O00262-1 cobre figurilla femenino si si 4 si femenino_herradura_hacia_abajo cachiporra bastones_diversos N/A N/A N/A N/A semi_ovalo N/A N/A N/A N/A N/A N/A N/A un_hilo
68 MO_O00267-1 cobre con_nucleo femenino si si 1 si femenino_realista N/A N/A N/A N/A N/A N/A no_tiene N/A N/A argollas_simples N/A N/A N/A N/A N/A
69 MO_O00268-1 tumbaga plana no_tiene si si 1 si no_tiene N/A N/A N/A N/A N/A N/A con_adornos N/A N/A N/A N/A N/A N/A N/A N/A
70 MO_O00294-1 tumbaga plana masculino si si 4 si masculino_sin_gonadas_hacia_abajo cabeza N/A N/A N/A N/A N/A semi_ovalo N/A N/A N/A N/A placa_espiral N/A N/A un_hilo
71 MO_O00297-1 tumbaga plana masculino si si 6 si masculino_con_gonadas_hacia_arriba cabeza dos_palitos musical N/A N/A N/A semi_ovalo N/A N/A N/A N/A placa_de_hilo N/A N/A un_hilo
72 MO_O00299-1 oro figurilla indeterminado si si 4 si indeterminado recipiente N/A N/A N/A N/A N/A semi_ovalo N/A N/A N/A N/A collar_largo N/A N/A adicionales
73 MO_O00301-1 tumbaga plana masculino si si 3 si masculino_sin_gonadas_hacia_arriba pájaros mochila N/A N/A N/A N/A cilíndrico N/A N/A N/A N/A N/A N/A N/A N/A
74 MO_O00303-1 tumbaga plana indeterminado si si 3 si indeterminado dos_palitos N/A N/A N/A N/A N/A rectangular N/A N/A N/A N/A N/A N/A N/A lámina
75 MO_O00336-1 oro figurilla indeterminado si si 3 si indeterminado dos_palitos N/A N/A N/A N/A N/A colmena N/A N/A topos N/A N/A N/A N/A N/A
76 MO_O00374-1 tumbaga plana femenino si si 4 si femenino_herradura_hacia_abajo N/A N/A N/A N/A N/A N/A rectangular N/A N/A topos N/A hilo_con_relieve N/A N/A un_hilo
